Kreis;Alter;Auslaenderanteil;Arbeitslosenrate;Bip;Miete;BevEntw
Cochem-Zell;45,6;6,4;3,8;26900;4,85;-5,7
Hof, Stadt;45,6;12,5;7,0;40800;4,54;-10,8
Nordwestmecklenburg;45,5;2,8;7,7;20700;5,83;-6,3
Garmisch-Partenkirchen;45,5;11,5;3,7;26100;8,82;+2,3
Neustadt an der Weinstraße, Stadt;45,5;8,8;5,7;28700;6,91;-1,1
Oberhavel;45,4;3,0;6,8;25000;7,01;+8,7
Mülheim an der Ruhr, Stadt;45,4;13,5;8,3;34500;6,21;-2,0
Ennepe-Ruhr-Kreis;45,4;9,3;6,7;29200;5,72;-6,4
Teltow-Fläming;45,4;3,6;6,2;30300;6,34;+3,0
Dithmarschen;45,3;4,3;7,2;26500;5,85;-2,9
Coburg;45,3;4,3;3,5;24800;5,56;-5,9
Hersfeld-Rotenburg;45,2;7,6;4,3;34600;5,03;-6,8
Potsdam-Mittelmark;45,2;3,6;5,8;21700;7,26;+8,0
Wolfenbüttel;45,2;5,3;5,5;18500;5,87;-4,1
Mettmann;45,2;11,0;6,5;36900;7,14;-3,2
Schwerin, Stadt;45,2;8,7;9,8;35700;5,97;-2,5
Havelland;45,2;3,1;7,4;18400;6,01;+6,8
Schwalm-Eder-Kreis;45,1;5,6;4,7;28300;4,89;-6,7
Südliche Weinstraße;45,1;6,2;4,1;22900;6,74;+1,3
Schweinfurt, Stadt;45,0;13,8;6,4;93900;5,95;-3,3
Merzig-Wadern;45,0;10,0;5,6;26200;6,17;-1,4
Coburg, Stadt;45,0;9,0;5,3;77900;6,69;-3,6
Wesel;45,0;8,6;7,1;26900;5,99;-1,7
Rhein-Lahn-Kreis;45,0;7,9;3,8;24000;5,53;-4,3
Main-Spessart;45,0;5,7;2,3;32400;5,61;-4,4
Amberg, Stadt;45,0;8,4;5,9;50000;6,11;-2,5
Nordfriesland;45,0;5,7;6,1;31600;8,01;+0,4
Rheinisch-Bergischer Kreis;44,9;8,6;6,2;24100;7,44;+2,3
Regionalverband Saarbrücken;44,9;11,7;10,0;43400;6,46;-6,1
Tirschenreuth;44,9;3,6;4,2;29600;4,38;-8,4
Waldeck-Frankenberg;44,9;6,9;4,3;32200;4,86;-7,0
Odenwaldkreis;44,9;12,5;5,2;25000;5,89;-2,7
Bad Kreuznach;44,9;8,5;6,6;28100;6,08;-0,5
Lichtenfels;44,9;4,1;3,9;32300;5,49;-5,4
Rhein-Pfalz-Kreis;44,9;8,9;3,5;16200;7,00;+3,7
Fürth;44,9;5,2;3,0;20900;7,61;+2,3
Recklinghausen;44,9;9,6;10,4;24800;5,47;-5,5
Hildesheim;44,9;6,8;6,6;25100;5,49;-4,7
Wesermarsch;44,8;6,6;7,1;29000;4,86;-4,9
Eichsfeld;44,8;2,6;5,0;22200;5,28;-10,2
